Paspalum denticulatum
Paspalum distichum
Paspalum fasciculatum
Paspalum glaucescens
Paspalum hydrophyllum
Paspalum ligulare
Paspalum melanospermum
Paspalum millegrana
Paspalum morichalense
Paspalum orbiculatum
Paspalum pulchellum
Paspalum pumilum
Paspalum repens
Paspalum trichophyllum
Paspalum vaginatum
Paspalum virgatum
Paspalum wrightii
Pennisetum purpureum
Poidium calotheca
Polypogon elongatus
Raddiella esenbeckii
Rhytachne rottboellioides
Reimarochloa aberrans
Reimarochloa acuta
Reimarochloa brasiliensis
Rugoloa hylaeica
Rugoloa pilosa
Rugoloa polygonata
Sacciolepis striata
Sacciolepis vilvoides
Sacciolepis myuros
Spartina alterniflora
Spartina densiflora
Setaria pauciflora
Setaria parviflora
Sorghastrum setosum
Sorghum bicolor
Sporobolus virginicus
Sporobolus indicus
Steinchisma laxa
Steinchisma laxum
Steinchisma decipiens
Stephostachys mertensii
Trichanthecium cyanenscens
Trichanthecium micranthum
Trichanthecium nervosum
Trichanthecium parvifolium
Trichanthecium pyrularium
Urochloa humidicola
Urochloa plantaginea
Urochloa subquadripara
Zizaniopsis bonariensis
